Driver,Team,LapNumber,Position,Compound,TyreLife,Stint,TrackStatus,LapTimeSeconds,PitLap,PitNextLap,LapsRemaining,RaceProgress,AvgPaceLast3,AvgPaceLast5,AvgPaceLast10,DegradationRate,CurrentStintLength,PitStopsCompleted,Season,Race
ALO,Aston Martin,14.0,8.0,SOFT,17.0,1.0,1,97.773,0,0,48.0,0.22580645161290322,98.20800000000001,98.24480000000001,98.34979999999999,-0.471800000000016,13.0,0,2025,Pre-Season Testing
ALO,Aston Martin,15.0,8.0,SOFT,18.0,1.0,1,97.898,0,0,47.0,0.24193548387096775,98.03399999999999,98.1694,98.2779,-0.27139999999999986,14.0,0,2025,Pre-Season Testing
ALO,Aston Martin,16.0,8.0,SOFT,19.0,1.0,1,98.166,0,0,46.0,0.25806451612903225,97.94566666666667,98.13759999999999,98.2542,0.028400000000004866,15.0,0,2025,Pre-Season Testing
ALO,Aston Martin,17.0,8.0,SOFT,20.0,1.0,1,98.082,0,0,45.0,0.27419354838709675,98.04866666666665,98.07,98.22529999999999,0.012000000000000455,16.0,0,2025,Pre-Season Testing
ALO,Aston Martin,18.0,8.0,SOFT,21.0,1.0,1,98.153,0,0,44.0,0.2903225806451613,98.13366666666667,98.0144,98.1883,0.13860000000001094,17.0,0,2025,Pre-Season Testing
ALO,Aston Martin,19.0,8.0,SOFT,22.0,1.0,1,97.839,0,0,43.0,0.3064516129032258,98.02466666666668,98.02759999999999,98.1362,-0.18859999999999388,18.0,0,2025,Pre-Season Testing
ALO,Aston Martin,20.0,8.0,SOFT,23.0,1.0,1,98.584,0,0,42.0,0.3225806451612903,98.19200000000001,98.1648,98.16709999999999,0.41920000000000357,19.0,0,2025,Pre-Season Testing
ALO,Aston Martin,21.0,8.0,SOFT,24.0,1.0,1,97.727,0,0,41.0,0.3387096774193548,98.05,98.077,98.10730000000001,-0.3499999999999943,20.0,0,2025,Pre-Season Testing
ALO,Aston Martin,22.0,7.0,SOFT,25.0,1.0,1,97.829,0,0,40.0,0.3548387096774194,98.04666666666667,98.0264,98.0482,-0.1974000000000018,21.0,0,2025,Pre-Season Testing
ALO,Aston Martin,23.0,7.0,SOFT,26.0,1.0,1,98.147,0,0,39.0,0.3709677419354839,97.901,98.0252,98.0198,0.12180000000000746,22.0,0,2025,Pre-Season Testing
ALO,Aston Martin,24.0,7.0,SOFT,27.0,1.0,1,97.965,0,0,38.0,0.3870967741935484,97.98033333333335,98.0504,98.039,-0.08539999999999281,23.0,0,2025,Pre-Season Testing
ALO,Aston Martin,25.0,6.0,SOFT,28.0,1.0,1,98.231,0,0,37.0,0.4032258064516129,98.11433333333333,97.9798,98.0723,0.2511999999999972,24.0,0,2025,Pre-Season Testing
ALO,Aston Martin,26.0,5.0,SOFT,29.0,1.0,1,98.487,0,1,36.0,0.41935483870967744,98.22766666666666,98.1318,98.10440000000001,0.3551999999999964,25.0,0,2025,Pre-Season Testing
ALO,Aston Martin,29.0,15.0,MEDIUM,3.0,2.0,1,98.233,1,0,33.0,0.46774193548387094,98.317,98.2126,98.11949999999999,0.0204000000000093,1.0,1,2025,Pre-Season Testing
ALO,Aston Martin,30.0,15.0,MEDIUM,4.0,2.0,1,98.209,0,0,32.0,0.4838709677419355,98.30966666666666,98.225,98.1251,-0.015999999999991132,2.0,1,2025,Pre-Season Testing
ALO,Aston Martin,31.0,14.0,MEDIUM,5.0,2.0,1,97.474,0,0,31.0,0.5,97.97200000000002,98.1268,98.0886,-0.6527999999999992,3.0,1,2025,Pre-Season Testing
ALO,Aston Martin,32.0,14.0,MEDIUM,6.0,2.0,1,97.376,0,0,30.0,0.5161290322580645,97.68633333333334,97.9558,97.96780000000001,-0.5797999999999917,4.0,1,2025,Pre-Season Testing
ALO,Aston Martin,33.0,14.0,MEDIUM,7.0,2.0,1,97.571,0,0,29.0,0.532258064516129,97.47366666666669,97.77260000000001,97.95219999999999,-0.20160000000001332,5.0,1,2025,Pre-Season Testing
ALO,Aston Martin,34.0,14.0,MEDIUM,8.0,2.0,1,97.35,0,0,28.0,0.5483870967741935,97.43233333333335,97.596,97.9043,-0.24600000000000932,6.0,1,2025,Pre-Season Testing
ALO,Aston Martin,35.0,14.0,MEDIUM,9.0,2.0,1,97.378,0,0,27.0,0.5645161290322581,97.43299999999999,97.4298,97.8274,-0.05180000000000007,7.0,1,2025,Pre-Season Testing
ALO,Aston Martin,36.0,14.0,MEDIUM,10.0,2.0,1,101.384,0,0,26.0,0.5806451612903226,98.704,98.2118,98.16929999999999,3.1722000000000037,8.0,1,2025,Pre-Season Testing
ALO,Aston Martin,37.0,13.0,MEDIUM,11.0,2.0,1,98.878,0,0,25.0,0.5967741935483871,99.21333333333332,98.51219999999999,98.23400000000001,0.36580000000000723,9.0,1,2025,Pre-Season Testing
ALO,Aston Martin,38.0,12.0,MEDIUM,12.0,2.0,1,97.838,0,0,24.0,0.6129032258064516,99.36666666666667,98.5656,98.16909999999999,-0.7276000000000096,10.0,1,2025,Pre-Season Testing
ALO,Aston Martin,39.0,12.0,MEDIUM,13.0,2.0,1,97.758,0,0,23.0,0.6290322580645161,98.158,98.6472,98.1216,-0.8892000000000024,11.0,1,2025,Pre-Season Testing
ALO,Aston Martin,40.0,12.0,MEDIUM,14.0,2.0,1,97.62,0,0,22.0,0.6451612903225806,97.73866666666667,98.6956,98.06269999999999,-1.0755999999999943,12.0,1,2025,Pre-Season Testing
ALO,Aston Martin,41.0,12.0,MEDIUM,15.0,2.0,1,97.416,0,0,21.0,0.6612903225806451,97.598,97.902,98.0569,-0.4860000000000042,13.0,1,2025,Pre-Season Testing
ALO,Aston Martin,42.0,11.0,MEDIUM,16.0,2.0,1,98.034,0,0,20.0,0.6774193548387096,97.69,97.7332,98.12270000000001,0.3008000000000095,14.0,1,2025,Pre-Season Testing
ALO,Aston Martin,43.0,11.0,MEDIUM,17.0,2.0,1,96.801,0,0,19.0,0.6935483870967742,97.41699999999999,97.5258,98.0457,-0.7248000000000019,15.0,1,2025,Pre-Season Testing
ALO,Aston Martin,44.0,11.0,MEDIUM,18.0,2.0,12,97.665,0,0,18.0,0.7096774193548387,97.5,97.5072,98.0772,0.15780000000000882,16.0,1,2025,Pre-Season Testing
ALO,Aston Martin,45.0,10.0,MEDIUM,19.0,2.0,1,98.277,0,0,17.0,0.7258064516129032,97.58100000000002,97.6386,98.16709999999999,0.6384000000000043,17.0,1,2025,Pre-Season Testing
ALO,Aston Martin,46.0,10.0,MEDIUM,20.0,2.0,1,97.55,0,0,16.0,0.7419354838709677,97.83066666666667,97.6654,97.78370000000001,-0.11540000000000816,18.0,1,2025,Pre-Season Testing
ALO,Aston Martin,47.0,8.0,MEDIUM,21.0,2.0,1,98.748,0,0,15.0,0.7580645161290323,98.19166666666666,97.80820000000001,97.7707,0.9397999999999911,19.0,1,2025,Pre-Season Testing
ALO,Aston Martin,48.0,8.0,MEDIUM,22.0,2.0,1,97.488,0,0,14.0,0.7741935483870968,97.92866666666667,97.94559999999998,97.73570000000001,-0.45759999999998513,20.0,1,2025,Pre-Season Testing
ALO,Aston Martin,49.0,8.0,MEDIUM,23.0,2.0,1,96.628,0,0,13.0,0.7903225806451613,97.62133333333333,97.7382,97.6227,-1.110200000000006,21.0,1,2025,Pre-Season Testing
ALO,Aston Martin,50.0,8.0,MEDIUM,24.0,2.0,1,95.962,0,0,12.0,0.8064516129032258,96.69266666666665,97.2752,97.45689999999999,-1.3131999999999948,22.0,1,2025,Pre-Season Testing
ALO,Aston Martin,51.0,8.0,MEDIUM,25.0,2.0,1,96.056,0,0,11.0,0.8225806451612904,96.21533333333333,96.9764,97.32090000000001,-0.9204000000000008,23.0,1,2025,Pre-Season Testing
ALO,Aston Martin,52.0,8.0,MEDIUM,26.0,2.0,1,95.862,0,0,10.0,0.8387096774193549,95.96,96.39920000000001,97.10369999999999,-0.5372000000000128,24.0,1,2025,Pre-Season Testing
