LapNumber,TyreLife,Position,LapsRemaining,RaceProgress,AvgPaceLast5,DegradationRate,PitNextLap
22.0,10.0,7.0,35.0,0.38596491228070173,98.6336,0.2634000000000043,0
23.0,11.0,7.0,34.0,0.40350877192982454,98.7094,0.03459999999999752,0
24.0,12.0,7.0,33.0,0.42105263157894735,98.77159999999999,-0.12959999999999638,0
25.0,13.0,8.0,32.0,0.43859649122807015,98.9384,0.7905999999999977,0
26.0,14.0,8.0,31.0,0.45614035087719296,99.041,0.15200000000000102,1
29.0,5.0,13.0,28.0,0.5087719298245614,98.5996,-1.9095999999999975,0
30.0,6.0,13.0,27.0,0.5263157894736842,98.1888,-1.4988000000000028,0
31.0,7.0,12.0,26.0,0.543859649122807,97.9666,-0.43559999999999377,1
37.0,8.0,14.0,20.0,0.6491228070175439,97.5642,0.15279999999999916,0
38.0,9.0,13.0,19.0,0.6666666666666666,97.1226,-0.13760000000000616,0
39.0,10.0,12.0,18.0,0.6842105263157895,97.3,0.277000000000001,0
40.0,11.0,12.0,17.0,0.7017543859649122,97.41659999999999,-0.14359999999999218,0
41.0,12.0,12.0,16.0,0.7192982456140351,97.4272,0.15680000000000405,0
42.0,13.0,12.0,15.0,0.7368421052631579,97.4232,0.2738000000000085,0
43.0,14.0,12.0,14.0,0.7543859649122807,97.5494,0.066599999999994,0
44.0,15.0,12.0,13.0,0.7719298245614035,97.6172,0.29879999999999995,0
45.0,16.0,12.0,12.0,0.7894736842105263,97.728,0.09900000000000375,0
46.0,17.0,11.0,11.0,0.8070175438596491,97.75880000000001,-0.020800000000008367,0
47.0,18.0,11.0,10.0,0.8245614035087719,97.7568,-0.06980000000000075,0
48.0,19.0,11.0,9.0,0.8421052631578947,97.73119999999999,-0.24319999999998743,0
49.0,20.0,11.0,8.0,0.8596491228070176,97.67099999999999,-0.055999999999997385,0
50.0,21.0,11.0,7.0,0.8771929824561403,97.6536,0.08639999999999759,0
51.0,22.0,11.0,6.0,0.8947368421052632,97.7102,0.3108000000000004,0
52.0,23.0,11.0,5.0,0.9122807017543859,97.9048,0.7552000000000021,0
53.0,24.0,11.0,4.0,0.9298245614035088,98.09039999999999,0.32560000000000855,0
54.0,25.0,11.0,3.0,0.9473684210526315,98.3098,0.40220000000000766,0
55.0,26.0,11.0,2.0,0.9649122807017544,98.5356,0.3333999999999975,0
56.0,27.0,11.0,1.0,0.9824561403508771,98.7444,0.3205999999999989,0
57.0,28.0,11.0,0.0,1.0,98.9216,0.6244000000000085,0
2.0,2.0,15.0,55.0,0.03508771929824561,100.265,0.0,0
3.0,3.0,15.0,54.0,0.05263157894736842,99.9255,-0.339500000000001,0
4.0,4.0,15.0,53.0,0.07017543859649122,99.70433333333334,-0.44233333333333746,0
5.0,5.0,14.0,52.0,0.08771929824561403,99.58975,-0.34375,0
6.0,6.0,14.0,51.0,0.10526315789473684,99.5324,-0.22939999999999827,0
7.0,7.0,14.0,50.0,0.12280701754385964,99.3808,0.12620000000001141,0
8.0,8.0,14.0,49.0,0.14035087719298245,99.4034,0.2955999999999932,0
9.0,9.0,13.0,48.0,0.15789473684210525,99.6078,0.6762000000000086,0
10.0,10.0,12.0,47.0,0.17543859649122806,99.7264,0.11260000000000048,0
11.0,11.0,9.0,46.0,0.19298245614035087,99.824,-0.03300000000000125,0
12.0,12.0,8.0,45.0,0.21052631578947367,99.8926,-0.0426000000000073,0
13.0,13.0,7.0,44.0,0.22807017543859648,99.973,0.1280000000000001,1
16.0,2.0,17.0,41.0,0.2807017543859649,99.5966,-1.194599999999994,0
17.0,3.0,14.0,40.0,0.2982456140350877,99.12480000000001,-1.6448000000000036,0
18.0,4.0,14.0,39.0,0.3157894736842105,98.7732,-0.7402000000000015,0
19.0,5.0,14.0,38.0,0.3333333333333333,98.5064,0.009600000000006048,0
20.0,6.0,14.0,37.0,0.3508771929824561,98.2114,0.4146000000000072,0
21.0,7.0,13.0,36.0,0.3684210526315789,98.2582,0.3777999999999935,0
22.0,8.0,13.0,35.0,0.38596491228070173,98.47540000000001,0.0905999999999949,0
23.0,9.0,13.0,34.0,0.40350877192982454,98.56980000000001,-0.06480000000001951,0
24.0,10.0,13.0,33.0,0.42105263157894735,98.6046,0.08539999999999281,0
25.0,11.0,13.0,32.0,0.43859649122807015,98.6728,0.29420000000000357,0
26.0,12.0,13.0,31.0,0.45614035087719296,98.6996,0.07039999999999225,0
27.0,13.0,12.0,30.0,0.47368421052631576,98.818,0.3400000000000034,0
28.0,14.0,10.0,29.0,0.49122807017543857,98.9208,0.09820000000000562,0
29.0,15.0,9.0,28.0,0.5087719298245614,99.22959999999999,1.004400000000004,0
30.0,16.0,9.0,27.0,0.5263157894736842,99.284,-0.045000000000001705,0
31.0,17.0,9.0,26.0,0.543859649122807,99.3976,-0.059600000000003206,1
36.0,4.0,11.0,21.0,0.631578947368421,99.2248,-0.930800000000005,0
37.0,5.0,11.0,20.0,0.6491228070175439,98.9688,-1.2297999999999973,0
38.0,6.0,11.0,19.0,0.6666666666666666,98.5836,-0.2755999999999972,0
39.0,7.0,11.0,18.0,0.6842105263157895,98.31739999999999,-0.4093999999999909,0
40.0,8.0,11.0,17.0,0.7017543859649122,97.91040000000001,-0.6074000000000126,0
41.0,9.0,11.0,16.0,0.7192982456140351,97.7932,-0.08520000000000039,0
42.0,10.0,11.0,15.0,0.7368421052631579,97.74719999999999,-0.23819999999999197,0
43.0,11.0,11.0,14.0,0.7543859649122807,97.6426,0.14239999999999498,0
44.0,12.0,11.0,13.0,0.7719298245614035,97.6316,0.2213999999999885,0
45.0,13.0,11.0,12.0,0.7894736842105263,97.7444,0.1226000000000056,0
46.0,14.0,10.0,11.0,0.8070175438596491,97.69860000000001,-0.219600000000014,0
47.0,15.0,10.0,10.0,0.8245614035087719,97.7112,-0.13920000000000243,0
48.0,16.0,10.0,9.0,0.8421052631578947,97.6854,-0.02939999999999543,0
49.0,17.0,10.0,8.0,0.8596491228070176,97.653,0.0379999999999967,0
50.0,18.0,10.0,7.0,0.8771929824561403,97.61460000000001,0.06039999999998713,0
51.0,19.0,10.0,6.0,0.8947368421052632,97.7866,0.5523999999999916,0
53.0,21.0,10.0,4.0,0.9298245614035088,97.9566,0.4654000000000025,0
55.0,23.0,10.0,2.0,0.9649122807017544,98.19379999999998,0.648200000000017,0
56.0,24.0,10.0,1.0,0.9824561403508771,98.45739999999999,0.5516000000000076,0
57.0,25.0,10.0,0.0,1.0,98.86319999999999,0.8408000000000015,0
2.0,2.0,19.0,55.0,0.03508771929824561,100.45,0.0,0
3.0,3.0,19.0,54.0,0.05263157894736842,100.17500000000001,-0.2750000000000057,0
4.0,4.0,19.0,53.0,0.07017543859649122,100.14299999999999,-0.06399999999999295,0
5.0,5.0,19.0,52.0,0.08771929824561403,100.28875,0.4372500000000059,0
6.0,6.0,19.0,51.0,0.10526315789473684,100.2216,-0.2685999999999922,0
7.0,7.0,18.0,50.0,0.12280701754385964,100.086,-0.31399999999999295,0
8.0,8.0,18.0,49.0,0.14035087719298245,100.1322,-0.0011999999999972033,0
9.0,9.0,17.0,48.0,0.15789473684210525,100.1814,0.1436000000000064,0
10.0,10.0,16.0,47.0,0.17543859649122806,100.0986,0.21339999999999293,0
11.0,11.0,13.0,46.0,0.19298245614035087,100.1576,0.09040000000000248,0
12.0,12.0,12.0,45.0,0.21052631578947367,100.38380000000001,0.5191999999999979,1
15.0,2.0,20.0,42.0,0.2631578947368421,100.2086,-0.9536000000000087,0
16.0,3.0,20.0,41.0,0.2807017543859649,99.8348,-1.3787999999999982,0
17.0,4.0,20.0,40.0,0.2982456140350877,99.62480000000001,-0.3628000000000071,0
18.0,5.0,20.0,39.0,0.3157894736842105,99.4282,-0.16320000000000334,0
19.0,6.0,20.0,38.0,0.3333333333333333,99.03819999999999,-0.08519999999998618,0
20.0,7.0,20.0,37.0,0.3508771929824561,98.94,-0.17600000000000193,0
21.0,8.0,20.0,36.0,0.3684210526315789,99.11280000000001,0.20719999999998606,0
22.0,9.0,20.0,35.0,0.38596491228070173,99.09380000000002,0.07319999999998572,0
23.0,10.0,20.0,34.0,0.40350877192982454,99.09119999999999,0.16080000000000894,0
24.0,11.0,20.0,33.0,0.42105263157894735,99.25800000000001,0.5289999999999964,0
25.0,12.0,20.0,32.0,0.43859649122807015,99.3768,-0.018799999999998818,0
26.0,13.0,20.0,31.0,0.45614035087719296,99.4658,0.299199999999999,0
27.0,14.0,20.0,30.0,0.47368421052631576,99.6962,0.622799999999998,0
28.0,15.0,19.0,29.0,0.49122807017543857,99.81980000000001,0.050199999999989586,0
29.0,16.0,18.0,28.0,0.5087719298245614,99.833,0.01999999999999602,0
30.0,17.0,18.0,27.0,0.5263157894736842,99.9374,-0.05740000000000123,0
31.0,18.0,18.0,26.0,0.543859649122807,99.9702,-0.041200000000003456,1
36.0,4.0,20.0,21.0,0.631578947368421,99.996,0.4519999999999982,0
37.0,5.0,20.0,20.0,0.6491228070175439,99.76219999999999,-1.0611999999999995,0
38.0,6.0,20.0,19.0,0.6666666666666666,99.3928,-1.3867999999999938,0
39.0,7.0,20.0,18.0,0.6842105263157895,99.1034,-0.6703999999999866,0
40.0,8.0,20.0,17.0,0.7017543859649122,98.7798,-0.46879999999998745,0
41.0,9.0,20.0,16.0,0.7192982456140351,98.4418,0.31619999999999493,0
42.0,10.0,20.0,15.0,0.7368421052631579,98.39959999999999,0.09040000000000248,0
43.0,11.0,20.0,14.0,0.7543859649122807,98.5822,0.33679999999999666,0
44.0,12.0,19.0,13.0,0.7719298245614035,98.9374,1.2716000000000065,0
45.0,13.0,19.0,12.0,0.7894736842105263,98.986,-0.43200000000000216,0
46.0,14.0,19.0,11.0,0.8070175438596491,98.8646,-0.7135999999999996,0
47.0,15.0,19.0,10.0,0.8245614035087719,98.8606,-0.3906000000000063,0
48.0,16.0,19.0,9.0,0.8421052631578947,98.79339999999999,-0.21039999999999281,0
49.0,17.0,19.0,8.0,0.8596491228070176,98.4676,0.11239999999999384,0
50.0,18.0,19.0,7.0,0.8771929824561403,98.4752,0.1167999999999978,0
51.0,19.0,19.0,6.0,0.8947368421052632,98.5862,0.11979999999999791,0
52.0,20.0,19.0,5.0,0.9122807017543859,98.6024,-0.051400000000001,0
53.0,21.0,19.0,4.0,0.9298245614035088,98.68039999999999,0.2926000000000073,0
54.0,22.0,19.0,3.0,0.9473684210526315,98.7516,0.18440000000001078,0
55.0,23.0,19.0,2.0,0.9649122807017544,98.83340000000001,0.1675999999999931,0
56.0,24.0,19.0,1.0,0.9824561403508771,98.9684,0.41259999999999764,0
57.0,25.0,19.0,0.0,1.0,99.0708,-0.007800000000003138,0
2.0,2.0,11.0,55.0,0.03508771929824561,99.172,0.0,0
3.0,3.0,11.0,54.0,0.05263157894736842,98.943,-0.2289999999999992,0
4.0,4.0,11.0,53.0,0.07017543859649122,98.86933333333333,-0.14733333333333576,0
5.0,5.0,11.0,52.0,0.08771929824561403,98.97575,0.3192499999999967,0
6.0,6.0,11.0,51.0,0.10526315789473684,99.03779999999999,0.2482000000000113,0
7.0,7.0,11.0,50.0,0.12280701754385964,99.09479999999999,0.3622000000000014,0
8.0,8.0,11.0,49.0,0.14035087719298245,99.31460000000001,0.4983999999999895,1
12.0,3.0,17.0,45.0,0.21052631578947367,99.1728,-1.15979999999999,0
13.0,4.0,16.0,44.0,0.22807017543859648,98.99879999999999,-0.5737999999999914,0
14.0,5.0,15.0,43.0,0.24561403508771928,98.77619999999999,-0.6031999999999869,0
15.0,6.0,12.0,42.0,0.2631578947368421,98.5472,-0.23520000000000607,0
16.0,7.0,11.0,41.0,0.2807017543859649,98.325,0.37699999999999534,0
